Code,Product,Price

SYS-IC2400D,Intel® Celeron® Processor 2.4GHz 400MHz FSB<br> Intel® D845GVSRL Motherboard supports 533FSB<br> 256MB DDR 333 2 DDR Slots<br> Intel Pro 10/100 Lan<br> Intergrated Intel® Extreme Graphics<br> Audio AC '97 SigmaTel STAC9750<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin Mini Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,550,cart

SYS-IC2500D, Intel® Celeron® Processor 2.5GHz 400MHz FSB<br> Intel® D845GVSRL Motherboard supports 533FSB<br> 256MB DDR 333 2 DDR Slots<br> Intel Pro 10/100 Lan<br> Intergrated Intel® Extreme Graphics<br> Audio AC '97 SigmaTel STAC9750<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin Mini Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,672.76,cart

SYS-IC2600D, Intel® Celeron® Processor 2.6GHz 400MHz FSB<br> Intel® D845GVSRL Motherboard supports 533FSB<br> 256MB DDR 333 2 DDR Slots<br> Intel Pro 10/100 Lan<br> Intergrated Intel® Extreme Graphics<br> Audio AC '97 SigmaTel STAC9750<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin Mini Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,580,cart

SYS-IC2800D, Intel® Celeron® Processor 2.8GHz 400MHz FSB<br> Intel® D845GVSRL Motherboard supports 533FSB<br> 256MB DDR 333 2 DDR Slots<br> Intel Pro 10/100 Lan<br> Intergrated Intel® Extreme Graphics<br> Audio AC '97 SigmaTel STAC9750<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin Mini Tower Case <br> 1.44 FDD<br> 52X CDROM<br> Speakers<br> Keyboard Mouse & Mat<br>*No Operating System Included*,640,cart

SYS-IP4028D, Intel® Pentium® 4 Processor 2.8GHz<br> Intel® D845GVSRL Motherboard supports 533FSB<br> 256MB DDR 333 2 DDR Slots<br> Intel Pro 10/100 Lan<br> Intergrated Intel® Extreme Graphics<br> Audio AC '97 SigmaTel STAC9750<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin Mini Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,720,cart

SYS-IP4028HTD,Intel® Pentium® 4 Processor 2.8GHz Hyperthreading 800MHz FSB<br> Intel® D865GLCL Motherboard supports 800FSB<br> 2 Serial ATA IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 512MB DDR PC3200 Dual Channel<br> Intergrated Intel® Extreme 2 Graphics<br> Intel Pro 10/100 Lan<br> Flex 6 audio subsystem using the Analog Devices AD1985 codec<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin J508 Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,870,cart

SYS-IP4030HTD,Intel® Pentium® 4 Processor 3GHz Hyperthreading 800MHz FSB<br> Intel® D865GLCL Motherboard supports 800FSB<br> 2 Serial ATA IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 512MB DDR PC3200 Dual Channel<br> Intergrated Intel® Extreme 2 Graphics<br> Intel Pro 10/100 Lan<br> Flex 6 audio subsystem using the Analog Devices AD1985 codec<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin J508 Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,980,cart

SYS-IP4032HTD,Intel® Pentium® 4 Processor 3.2GHz Hyperthreading 800MHz FSB<br> Intel® D865GLCL Motherboard supports 800FSB<br> 2 Serial ATA IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 512MB DDR PC3200 Dual Channel<br> Intergrated Intel® Extreme 2 Graphics<br> Intel Pro 10/100 Lan<br> Flex 6 audio subsystem using the Analog Devices AD1985 codec<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin J508 Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,1130,cart

SYS-IP4034HTD,Intel® Pentium® 4 Processor 3.4GHz Hyperthreading 800MHz FSB<br> Intel® D865GLCL Motherboard supports 800FSB<br> 2 Serial ATA IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 512MB DDR PC3200 Dual Channel<br> Intergrated Intel® Extreme 2 Graphics<br> Intel Pro 10/100 Lan<br> Flex 6 audio subsystem using the Analog Devices AD1985 codec<br> 40GB 8mb Cache Hard Disk Drive<br> Inwin J508 Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,1340,cart

SYS-ISP24BRS,Intel® Xeon® Processor 2.4GHz 512K Cache (1 CPU's fitted)<br> Intel® SE7501BRS Dual Xeon® Server board Includes<br> Dual Channel DDR with 1GB DDR ECC<br> Adaptec Ultra 320 SCSI RAID1/0 onboard<br> Two 36GB 10000 RPM Ultra 3200 SCSI Hard Drive<br> Intel® 1000/100 & 10/100 Lan<br> Integrated video<br> Intel® SC5200 Server Chassis Redundant PSU & 5 SCSI Hot Swap<br> 52X CD-Rom and 1.44 Floppy Drive<br> Keyboard Mouse & Mat<br> *No Operating System Included*,4464.90,cart

SYS-ISP24VB2,Intel® Xeon® Processor 2.4 GHz 512K Cache (1 CPU fitted)<br> Intel® SE7501VB2 Dual Xeon™ Server board Includes<br> Dual Channel DDR with 512MB DDR ECC<br> Dual SATA 100 Raid<br> DUAL 80GB 72000 RPM SATA Hard Drives<br> Dual Lan Intel® Gigabit & 10/100 Lan<br> Integrated video<br> Intel® SC5250E Server Chassis<br> 52X CD-Rom and 1.44 Floppy Drive<br> Keyboard Mouse & Mat<br> *No Operating System Included*,2838.66,cart

SYS-ISP26WP,Intel® Pentium® 2.6GHz Hyperthreading 800MHz FSB<br> Intel® S875WP1LX Server board Includes<br> Dual Channel DDR with 512MB DDR 800MHz<br> 4 SATA Raid & 2 SATA STD<br> Dual IDE ATA<br> 80GB 7200 RPM *mb Cache Hard Drive<br> Dual Intel® Lan Gigabit & 10/100<br> Integrated video & AGP 8X Slot<br> InWin J508 Chassis<br> 52X CD-Rom and 1.44 Floppy Drive<br> Keyboard Mouse & Mat<br> *No Operating System Included*,1465.31,cart

SYS-ISP28WP, <br>IRIDIUM SERVER P4 2.8GHZ S875WP1LX 80GB 512MB DDR<br> *No Operating System Included*,1465.31,cart

SYS-NEC-FLEX845,<br>NEC DESKTOP BUNDLE INC MO 845GV/C2.6/256/40GB/CDRW,1058.75,cart

SYS-VC2400D,Intel® Celeron® Processor 2.4GHz 400Mhz FSB<br> Asus® P4GX-MX Motherboard Includes<br> AGP 4X slot & SIS 651 intergarated video<br> Digital 5.1 Audio with S/PDIF<br> 256MB DDR RAM<br> 10/100 Lan 6 x USB 2.1<br> 40GB Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD and 52X CD-Rom<br> 120 Watt Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,500,cart

SYS-VC2500D,Intel® Celeron® Processor 2.5GHz 400Mhz FSB<br> Asus® P4GX-MX Motherboard Includes<br> AGP 4X slot & SIS 651 intergarated video<br> Digital 5.1 Audio with S/PDIF<br> 256MB DDR RAM<br> 10/100 Lan 6 x USB 2.1<br> 40GB Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD and 52X CD-Rom<br> 120 Watt Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,575.96,cart

SYS-VC2600D,Intel® Celeron® Processor 2.6GHz 400Mhz FSB<br> Asus® P4GX-MX Motherboard Includes<br> AGP 4X slot & SIS 651 intergarated video<br> Digital 5.1 Audio with S/PDIF<br> 256MB DDR RAM<br> 10/100 Lan 6 x USB 2.1<br> 40GB Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD and 52X CD-Rom<br> 120 Watt Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,530,cart

SYS-VC2800D,Intel® Celeron® Processor 2.8GHz 400Mhz FSB<br> Asus® P4GX-MX Motherboard Includes<br> AGP 4X slot & SIS 651 intergarated video<br> Digital 5.1 Audio with S/PDIF<br> 256MB DDR RAM<br> 10/100 Lan 6 x USB 2.1<br> 40GB Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD and 52X CD-Rom<br> 120 Watt Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,580,cart

SYS-VC4028D,Intel® Pentium® 4 Processor 2.8GHz 533 FSB<br> Asus® P4GX-MX Motherboard Includes<br> AGP 4X slot & SIS 651 intergarated video<br> Digital 5.1 Audio with S/PDIF<br> 256MB DDR RAM<br> 10/100 Lan<br> 40GB Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD and 52X CD-Rom<br> 120 Watt Speakers<br> Keyboard Mouse & Mat<br> *No Operating System Included*,670,cart

SYS-VC4028HT,Intel® Pentium® 4 Processor 2.8GHz Hyperthreading 800MHz FSB<br> Axion Saphire Ati Motherboard supports 800FSB<br> 2 ATA133 IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 256MB DDR PC3200<br> ATI Radeon 91000 Graphics<br> Digital 5.1 Audio with S/PDIF<br> 40GB 7200 Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,720,cart

SYS-VC4030HT,Intel® Pentium® 4 Processor 3GHz Hyperthreading 800MHz FSB<br> Axion Saphire Ati Motherboard supports 800FSB<br> 2 ATA133 IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 256MB DDR PC3200<br> ATI Radeon 91000 Graphics<br> Digital 5.1 Audio with S/PDIF<br> 40GB 7200 Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,790,cart

SYS-VC4032HT,Intel® Pentium® 4 Processor 3.2GHz Hyperthreading 800MHz FSB<br> Axion Saphire Ati Motherboard supports 800FSB<br> 2 ATA133 IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 256MB DDR PC3200<br> ATI Radeon 91000 Graphics<br> Digital 5.1 Audio with S/PDIF<br> 40GB 7200 Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,920,cart

SYS-VC4034HT,Intel® Pentium® 4 Processor 3.4GHz Hyperthreading 800MHz FSB<br> Axion Saphire Ati Motherboard supports 800FSB<br> 2 ATA133 IDE interfaces<br> AGP 8X support 6 USB 2.0 ports<br> 256MB DDR PC3200<br> ATI Radeon 91000 Graphics<br> Digital 5.1 Audio with S/PDIF<br> 40GB 7200 Hard Disk Drive<br> Midi ATX front USB Tower Case<br> 1.44 FDD<br> 52X CDROM<br> Keyboard Mouse & Mat<br> *No Operating System Included*,1130,cart